timestamp,sensor_id,temperature,humidity,co2_level
2026-05-04 17:50:14.273506,SN-001,30.8,84.08,426
2026-05-04 17:55:14.273506,SN-001,32.41,79.09,255
2026-05-04 18:00:14.273506,SN-001,27.8,71.96,368
2026-05-04 18:05:14.273506,SN-001,31.05,79.68,363
2026-05-04 18:10:14.273506,SN-001,30.52,72.77,361
2026-05-04 18:15:14.273506,SN-001,32.37,73.93,352
2026-05-04 18:20:14.273506,SN-001,28.21,76.04,468
2026-05-04 18:25:14.273506,SN-001,31.7,78.76,368
2026-05-04 18:30:14.273506,SN-001,30.67,75.03,473
2026-05-04 18:35:14.273506,SN-001,30.88,71.19,404
2026-05-04 18:40:14.273506,SN-001,32.23,73.51,439
2026-05-04 18:45:14.273506,SN-001,32.51,71.43,440
2026-05-04 18:50:14.273506,SN-001,28.8,83.03,533
2026-05-04 18:55:14.273506,SN-001,29.78,78.94,402
2026-05-04 19:00:14.273506,SN-001,27.81,81.45,417
2026-05-04 19:05:14.273506,SN-001,28.83,74.18,456
2026-05-04 19:10:14.273506,SN-001,30.55,78.1,473
2026-05-04 19:15:14.273506,SN-001,28.61,72.12,424
2026-05-04 19:20:14.273506,SN-001,28.7,77.11,313
2026-05-04 19:25:14.273506,SN-001,30.27,82.56,423
2026-05-04 19:30:14.273506,SN-001,30.5,81.82,387
2026-05-04 19:35:14.273506,SN-001,27.52,77.14,357
2026-05-04 19:40:14.273506,SN-001,29.81,72.99,373
2026-05-04 19:45:14.273506,SN-001,30.88,73.49,392
2026-05-04 19:50:14.273506,SN-001,28.43,71.4,421
2026-05-04 19:55:14.273506,SN-001,29.05,80.18,370
2026-05-04 20:00:14.273506,SN-001,30.53,79.99,382
2026-05-04 20:05:14.273506,SN-001,30.55,80.51,486
2026-05-04 20:10:14.273506,SN-001,30.99,81.99,324
2026-05-04 20:15:14.273506,SN-001,29.94,70.33,441
2026-05-04 20:20:14.273506,SN-001,31.27,81.1,397
2026-05-04 20:25:14.273506,SN-001,32.28,81.25,401
2026-05-04 20:30:14.273506,SN-001,32.99,72.47,445
2026-05-04 20:35:14.273506,SN-001,30.63,71.92,320
2026-05-04 20:40:14.273506,SN-001,29.71,76.73,382
2026-05-04 20:45:14.273506,SN-001,32.46,82.81,311
2026-05-04 20:50:14.273506,SN-001,29.68,74.36,352
2026-05-04 20:55:14.273506,SN-001,30.43,71.31,351
2026-05-04 21:00:14.273506,SN-001,30.63,74.49,350
2026-05-04 21:05:14.273506,SN-001,31.87,81.13,344
2026-05-04 21:10:14.273506,SN-001,27.56,83.8,394
2026-05-04 21:15:14.273506,SN-001,28.29,80.03,330
2026-05-04 21:20:14.273506,SN-001,31.01,77.25,492
2026-05-04 21:25:14.273506,SN-001,31.24,84.4,387
2026-05-04 21:30:14.273506,SN-001,29.86,72.5,345
2026-05-04 21:35:14.273506,SN-001,29.52,76.11,383
2026-05-04 21:40:14.273506,SN-001,30.83,75.71,354
2026-05-04 21:45:14.273506,SN-001,29.18,78.01,360
2026-05-04 21:50:14.273506,SN-001,31.28,79.05,419
2026-05-04 21:55:14.273506,SN-001,32.16,74.77,408
2026-05-04 22:00:14.273506,SN-001,27.57,82.64,399
2026-05-04 22:05:14.273506,SN-001,27.97,79.27,298
2026-05-04 22:10:14.273506,SN-001,32.14,70.95,341
2026-05-04 22:15:14.273506,SN-001,29.84,82.78,431
2026-05-04 22:20:14.273506,SN-001,30.16,72.56,434
2026-05-04 22:25:14.273506,SN-001,32.68,80.12,389
2026-05-04 22:30:14.273506,SN-001,29.22,79.29,390
2026-05-04 22:35:14.273506,SN-001,29.22,83.02,426
2026-05-04 22:40:14.273506,SN-001,29.47,79.11,429
2026-05-04 22:45:14.273506,SN-001,27.62,83.97,469
2026-05-04 22:50:14.273506,SN-001,31.19,70.52,499
2026-05-04 22:55:14.273506,SN-001,31.89,78.35,344
2026-05-04 23:00:14.273506,SN-001,27.89,76.6,379
2026-05-04 23:05:14.273506,SN-001,30.75,82.61,304
2026-05-04 23:10:14.273506,SN-001,31.36,80.27,432
2026-05-04 23:15:14.273506,SN-001,30.27,78.09,379
2026-05-04 23:20:14.273506,SN-001,29.17,71.15,346
2026-05-04 23:25:14.273506,SN-001,31.99,76.62,335
2026-05-04 23:30:14.273506,SN-001,30.89,84.32,439
2026-05-04 23:35:14.273506,SN-001,32.45,84.38,354
2026-05-04 23:40:14.273506,SN-001,31.4,84.13,357
2026-05-04 23:45:14.273506,SN-001,30.8,72.52,381
2026-05-04 23:50:14.273506,SN-001,31.07,80.14,411
2026-05-04 23:55:14.273506,SN-001,30.76,80.08,362
2026-05-05 00:00:14.273506,SN-001,31.73,71.22,300
2026-05-05 00:05:14.273506,SN-001,30.46,78.74,330
2026-05-05 00:10:14.273506,SN-001,28.92,84.76,341
2026-05-05 00:15:14.273506,SN-001,28.2,74.32,328
2026-05-05 00:20:14.273506,SN-001,33.0,77.87,495
2026-05-05 00:25:14.273506,SN-001,29.95,78.09,337
2026-05-05 00:30:14.273506,SN-001,31.93,77.83,430
2026-05-05 00:35:14.273506,SN-001,31.29,70.93,327
2026-05-05 00:40:14.273506,SN-001,31.53,84.7,387
2026-05-05 00:45:14.273506,SN-001,29.89,79.71,429
2026-05-05 00:50:14.273506,SN-001,29.94,73.09,367
2026-05-05 00:55:14.273506,SN-001,32.04,74.32,357
2026-05-05 01:00:14.273506,SN-001,31.54,77.26,320
2026-05-05 01:05:14.273506,SN-001,30.49,79.69,389
2026-05-05 01:10:14.273506,SN-001,28.76,78.73,445
2026-05-05 01:15:14.273506,SN-001,29.0,73.03,412
2026-05-05 01:20:14.273506,SN-001,31.17,78.97,367
2026-05-05 01:25:14.273506,SN-001,28.53,74.15,498
2026-05-05 01:30:14.273506,SN-001,29.87,84.05,316
2026-05-05 01:35:14.273506,SN-001,31.71,76.39,455
2026-05-05 01:40:14.273506,SN-001,29.15,75.55,432
2026-05-05 01:45:14.273506,SN-001,28.16,83.15,487
2026-05-05 01:50:14.273506,SN-001,28.41,75.82,328
2026-05-05 01:55:14.273506,SN-001,32.63,74.45,464
2026-05-05 02:00:14.273506,SN-001,27.68,73.11,424
2026-05-05 02:05:14.273506,SN-001,30.59,75.76,454
